                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.49851,                0.37113,                0.89562,                0.63807,                0.63283,                0.61876,                0.42611,                 1.0347,                 1.2791,                 1.3886,              0.0053965,              0.0053965,              0.0053965
                     95,                0.49237,                0.36981,                0.90017,                0.70077,                0.62913,                0.63854,                0.44897,                0.98988,                 1.2142,                 1.3454,               0.005347,               0.005347,               0.005347
                     96,                0.49511,                 0.3688,                 0.8964,                0.68377,                 0.6101,                0.60578,                0.42572,                 1.0126,                 1.2933,                 1.3611,              0.0052975,              0.0052975,              0.0052975
                     97,                0.48849,                0.36876,                0.89488,                0.66463,                0.61705,                0.62025,                0.43507,                0.97941,                 1.2091,                 1.3404,               0.005248,               0.005248,               0.005248
                     98,                0.48733,                0.36565,                0.89566,                0.67339,                0.62519,                0.62626,                0.43553,                 1.0072,                 1.2091,                 1.3675,              0.0051985,              0.0051985,              0.0051985
                     99,                0.48963,                0.36393,                0.88859,                0.67999,                0.63423,                0.62512,                0.44017,                 1.0203,                 1.2149,                 1.3576,               0.005149,               0.005149,               0.005149
                    100,                0.49553,                0.36016,                 0.8898,                0.70344,                0.60894,                0.61864,                0.43562,                 0.9927,                 1.2476,                 1.3348,              0.0050995,              0.0050995,              0.0050995
                    101,                0.48624,                 0.3552,                0.89051,                 0.6447,                0.64574,                0.62567,                0.44423,                 1.0041,                 1.2382,                 1.3474,                0.00505,                0.00505,                0.00505
                    102,                0.49245,                 0.3608,                0.88868,                0.69326,                0.61866,                0.64012,                0.44144,                 1.0353,                 1.2681,                 1.3734,              0.0050005,              0.0050005,              0.0050005
                    103,                 0.4782,                0.35425,                0.88702,                0.68923,                0.63251,                0.63685,                0.44513,                 1.0232,                 1.2358,                 1.3574,               0.004951,               0.004951,               0.004951
                    104,                0.49299,                0.36055,                 0.8914,                  0.673,                 0.6085,                0.62171,                0.43582,                 1.0407,                  1.282,                   1.38,              0.0049015,              0.0049015,              0.0049015
                    105,                0.47786,                0.34855,                0.88605,                 0.6984,                0.60383,                0.62422,                0.43661,                 1.0405,                 1.2484,                 1.3765,               0.004852,               0.004852,               0.004852
                    106,                 0.4753,                0.34762,                0.88702,                0.69418,                0.62529,                0.64018,                0.45396,                 1.0009,                 1.1915,                 1.3506,              0.0048025,              0.0048025,              0.0048025
                    107,                0.48713,                0.34725,                0.88689,                0.75716,                 0.5725,                0.61636,                0.43204,                 1.0232,                 1.3876,                  1.368,               0.004753,               0.004753,               0.004753
                    108,                0.47023,                0.34714,                0.88897,                 0.7002,                0.60914,                0.62887,                0.45252,                  1.005,                  1.272,                 1.3596,              0.0047035,              0.0047035,              0.0047035
                    109,                0.47916,                 0.3474,                0.89095,                0.72388,                0.58836,                0.62001,                  0.432,                 1.0573,                 1.2969,                 1.4148,               0.004654,               0.004654,               0.004654
                    110,                0.46811,                0.34428,                0.88862,                0.72566,                 0.6083,                 0.6445,                0.44722,                 1.0196,                 1.2135,                 1.3766,              0.0046045,              0.0046045,              0.0046045
                    111,                0.47055,                0.34292,                0.88237,                0.69406,                 0.6171,                0.64256,                0.45037,                 1.0001,                 1.1725,                 1.3549,               0.004555,               0.004555,               0.004555
                    112,                0.47704,                0.34244,                0.88154,                0.66568,                0.63009,                0.64044,                0.45381,                 1.0103,                 1.2053,                 1.3464,              0.0045055,              0.0045055,              0.0045055
                    113,                0.46202,                 0.3384,                0.88246,                0.69215,                0.58537,                0.63149,                0.43813,                 1.0103,                 1.3126,                 1.3645,               0.004456,               0.004456,               0.004456
                    114,                0.46479,                0.34122,                0.88271,                0.63826,                0.64988,                 0.6305,                0.44648,                 0.9833,                 1.2864,                 1.3611,              0.0044065,              0.0044065,              0.0044065
                    115,                0.45813,                0.33374,                0.87989,                0.64758,                0.64998,                0.63675,                0.46209,                0.97226,                 1.2876,                 1.3353,               0.004357,               0.004357,               0.004357
                    116,                0.46547,                0.33775,                0.88065,                0.67741,                0.60336,                0.62889,                0.45366,                0.96271,                 1.2761,                 1.3002,              0.0043075,              0.0043075,              0.0043075
                    117,                0.46411,                0.33632,                0.87914,                0.73705,                0.60484,                0.64589,                0.45546,                  1.018,                 1.2065,                 1.3412,               0.004258,               0.004258,               0.004258
                    118,                0.44569,                0.33286,                0.87655,                0.71644,                0.60324,                0.62972,                0.44398,                 1.0139,                 1.2665,                 1.3561,              0.0042085,              0.0042085,              0.0042085
                    119,                0.45737,                0.32552,                0.87969,                0.72133,                0.59797,                0.62742,                0.44823,                 1.0149,                 1.2774,                   1.36,               0.004159,               0.004159,               0.004159
                    120,                0.45341,                0.33586,                0.87686,                0.64521,                0.61356,                0.62616,                0.44654,                 1.0176,                 1.2587,                 1.3734,              0.0041095,              0.0041095,              0.0041095
                    121,                0.45398,                0.32634,                0.87676,                0.70049,                0.58947,                0.61837,                0.43836,                 1.0148,                  1.319,                 1.3965,                0.00406,                0.00406,                0.00406
                    122,                0.44313,                0.32105,                0.87649,                0.67196,                0.63164,                0.62936,                0.44207,                 1.0169,                 1.2917,                 1.3853,              0.0040105,              0.0040105,              0.0040105
                    123,                0.45229,                 0.3252,                0.87869,                0.70514,                0.62929,                0.63789,                0.45025,                 1.0277,                 1.2659,                 1.3981,               0.003961,               0.003961,               0.003961
                    124,                0.44255,                0.32013,                0.87404,                0.71094,                0.60605,                0.63738,                0.44779,                 1.0026,                 1.2698,                 1.3533,              0.0039115,              0.0039115,              0.0039115
                    125,                0.44115,                0.31971,                0.87106,                0.73155,                0.59162,                0.62913,                0.44753,                  0.998,                 1.3128,                 1.3432,               0.003862,               0.003862,               0.003862
                    126,                0.43311,                0.31417,                0.87131,                0.75501,                0.55105,                0.62846,                0.44896,                 1.0065,                 1.3333,                  1.367,              0.0038125,              0.0038125,              0.0038125
                    127,                0.43894,                0.31502,                0.87167,                0.70826,                0.60496,                0.63446,                0.44926,                 1.0114,                 1.2902,                 1.3628,               0.003763,               0.003763,               0.003763
                    128,                0.42955,                  0.309,                0.87078,                0.69397,                0.60926,                0.62436,                0.43967,                 1.0121,                 1.2661,                 1.3439,              0.0037135,              0.0037135,              0.0037135
                    129,                0.43638,                0.31427,                0.87184,                0.73471,                0.58964,                0.62137,                0.43473,                  1.015,                 1.3765,                 1.3531,               0.003664,               0.003664,               0.003664
                    130,                0.45097,                0.31806,                0.87127,                0.72688,                0.59365,                0.62443,                0.43989,                 1.0309,                 1.2697,                 1.3745,              0.0036145,              0.0036145,              0.0036145
                    131,                0.43071,                0.31094,                0.86763,                0.66243,                0.64295,                0.62945,                0.44263,                 1.0172,                 1.2784,                 1.3778,               0.003565,               0.003565,               0.003565
                    132,                0.42345,                0.30398,                0.87116,                0.71188,                0.60313,                0.62656,                0.44128,                 1.0141,                 1.3153,                 1.3747,              0.0035155,              0.0035155,              0.0035155
                    133,                0.42573,                 0.3037,                0.87102,                0.72394,                0.58181,                0.62464,                0.43602,                 1.0356,                 1.3467,                 1.3913,               0.003466,               0.003466,               0.003466
